rosbagTimestamp,map_load_time,secs,nsecs,resolution,width,height,origin,position,x,y,z,orientation,x,y,z,w
112895000000,,0,0,0.0500000007451,384,384,,,-10.0,-10.0,0.0,,0.0,0.0,0.0,1.0
113321000000,,0,0,0.0500000007451,384,384,,,-10.0,-10.0,0.0,,0.0,0.0,0.0,1.0
116009000000,,0,0,0.0500000007451,384,384,,,-10.0,-10.0,0.0,,0.0,0.0,0.0,1.0
117985000000,,0,0,0.0500000007451,384,384,,,-10.0,-10.0,0.0,,0.0,0.0,0.0,1.0
120052000000,,0,0,0.0500000007451,384,384,,,-10.0,-10.0,0.0,,0.0,0.0,0.0,1.0
122007000000,,0,0,0.0500000007451,384,384,,,-10.0,-10.0,0.0,,0.0,0.0,0.0,1.0
124142000000,,0,0,0.0500000007451,384,384,,,-10.0,-10.0,0.0,,0.0,0.0,0.0,1.0
126242000000,,0,0,0.0500000007451,384,384,,,-10.0,-10.0,0.0,,0.0,0.0,0.0,1.0
128316000000,,0,0,0.0500000007451,384,384,,,-10.0,-10.0,0.0,,0.0,0.0,0.0,1.0
130361000000,,0,0,0.0500000007451,384,384,,,-10.0,-10.0,0.0,,0.0,0.0,0.0,1.0
132521000000,,0,0,0.0500000007451,384,384,,,-10.0,-10.0,0.0,,0.0,0.0,0.0,1.0
134964000000,,0,0,0.0500000007451,384,384,,,-10.0,-10.0,0.0,,0.0,0.0,0.0,1.0
137112000000,,0,0,0.0500000007451,384,384,,,-10.0,-10.0,0.0,,0.0,0.0,0.0,1.0
139172000000,,0,0,0.0500000007451,384,384,,,-10.0,-10.0,0.0,,0.0,0.0,0.0,1.0
141226000000,,0,0,0.0500000007451,384,384,,,-10.0,-10.0,0.0,,0.0,0.0,0.0,1.0
143477000000,,0,0,0.0500000007451,384,384,,,-10.0,-10.0,0.0,,0.0,0.0,0.0,1.0
145535000000,,0,0,0.0500000007451,384,384,,,-10.0,-10.0,0.0,,0.0,0.0,0.0,1.0
147641000000,,0,0,0.0500000007451,384,384,,,-10.0,-10.0,0.0,,0.0,0.0,0.0,1.0
149811000000,,0,0,0.0500000007451,384,384,,,-10.0,-10.0,0.0,,0.0,0.0,0.0,1.0
151827000000,,0,0,0.0500000007451,384,384,,,-10.0,-10.0,0.0,,0.0,0.0,0.0,1.0
153979000000,,0,0,0.0500000007451,384,384,,,-10.0,-10.0,0.0,,0.0,0.0,0.0,1.0
156141000000,,0,0,0.0500000007451,384,384,,,-10.0,-10.0,0.0,,0.0,0.0,0.0,1.0
158334000000,,0,0,0.0500000007451,384,384,,,-10.0,-10.0,0.0,,0.0,0.0,0.0,1.0
160326000000,,0,0,0.0500000007451,384,384,,,-10.0,-10.0,0.0,,0.0,0.0,0.0,1.0
162867000000,,0,0,0.0500000007451,384,384,,,-10.0,-10.0,0.0,,0.0,0.0,0.0,1.0
165583000000,,0,0,0.0500000007451,384,384,,,-10.0,-10.0,0.0,,0.0,0.0,0.0,1.0
168043000000,,0,0,0.0500000007451,384,384,,,-10.0,-10.0,0.0,,0.0,0.0,0.0,1.0
170325000000,,0,0,0.0500000007451,384,384,,,-10.0,-10.0,0.0,,0.0,0.0,0.0,1.0
172615000000,,0,0,0.0500000007451,384,384,,,-10.0,-10.0,0.0,,0.0,0.0,0.0,1.0
175156000000,,0,0,0.0500000007451,384,384,,,-10.0,-10.0,0.0,,0.0,0.0,0.0,1.0
177457000000,,0,0,0.0500000007451,384,384,,,-10.0,-10.0,0.0,,0.0,0.0,0.0,1.0
179613000000,,0,0,0.0500000007451,384,384,,,-10.0,-10.0,0.0,,0.0,0.0,0.0,1.0
181909000000,,0,0,0.0500000007451,384,384,,,-10.0,-10.0,0.0,,0.0,0.0,0.0,1.0
184179000000,,0,0,0.0500000007451,384,384,,,-10.0,-10.0,0.0,,0.0,0.0,0.0,1.0
