rosbagTimestamp,data
115786000000,4.78749174251
118120000000,4.78749174202
120090000000,4.78749172115
122388000000,4.78749171433
124376000000,4.78749171168
126466000000,4.78749169501
128427000000,4.78749167011
130518000000,4.78749169121
132664000000,4.78749168772
134856000000,4.78749169741
136906000000,4.78749169871
138887000000,4.78749168734
140958000000,4.78749167692
143505000000,4.78749164206
145411000000,4.78749161758
147668000000,4.78749148372
149706000000,4.78749148684
151818000000,4.78749148251
153835000000,4.78706939807
155904000000,4.78697367013
158127000000,4.78728940374
160221000000,4.78714412628
162333000000,4.78719449796
164913000000,4.78723794138
167225000000,4.78727447083
169509000000,4.78734847506
171616000000,4.78733207801
173729000000,4.78730840614
175741000000,4.78741069492
178026000000,4.78741428851
180216000000,4.78740005211
182287000000,4.78740158597
184947000000,4.78740343836
187012000000,4.7874046041
189036000000,4.78740529449
191813000000,4.78740690343
193981000000,4.78740801691
196142000000,4.78740884127
198239000000,4.78740967823
200409000000,4.78741069102
202958000000,4.78741205563
205136000000,4.78741296687
207295000000,4.78741384798
209342000000,4.78741486564
211458000000,4.78741605867
213548000000,4.78741717987
216026000000,4.78741819674
218314000000,4.78741937715
220499000000,4.78742037065
222728000000,4.78742135674
224820000000,4.7874223728
226910000000,4.78742342628
229656000000,4.78742467379
231964000000,4.78742559959
234218000000,4.78742649184
236703000000,4.78742725148
238969000000,4.78742806942
241087000000,4.78742889193
243251000000,4.78742974366
245444000000,4.78743062127
247793000000,4.78741160905
250037000000,4.78740204484
252457000000,4.78740462128
254723000000,4.78739409405
256885000000,4.78739884972
259275000000,4.7873998823
261503000000,4.7874010643
263557000000,4.78740217864
265809000000,4.7874031225
268128000000,4.78740411392
270422000000,4.7874049633
272715000000,4.7874058149
275111000000,4.78740658574
277392000000,4.78740736995
279703000000,4.78740818293
281839000000,4.78740892517
283985000000,4.78740970294
285988000000,4.78741048873
288185000000,4.78741120573
290387000000,4.78741199825
292585000000,4.7874126478
294802000000,4.78741328494
296848000000,4.78741400632
299595000000,4.78741499632
